Subj,Block,Type,Stim,Corr,Trial,Resp,RT,Succ,TrialType,TrialTypeInt
sub-11,Block2,Fix1,stimuli/Old/20.jpg,right,32,right,0.946170553001139,1,Fix1-10,10
sub-11,Block2,Fix2,stimuli/Small/45.jpg,left,33,left,8.11562749299992,1,Fix2-10,10
sub-11,Block2,Fix1,stimuli/Old/54.jpg,right,34,right,0.817461321999872,1,Fix1-11,11
sub-11,Block2,Cond,stimuli/Sad/48.jpg,left,35,left,1.10374933999992,1,Cond-15,15
sub-11,Block2,Fix1,stimuli/Old/41.jpg,right,36,right,0.932472676999168,1,Fix1-12,12
sub-11,Block2,Fix1,stimuli/Old/29.jpg,right,37,right,1.17461329799698,1,Fix1-13,13
sub-11,Block2,Fix1,stimuli/Old/30.jpg,right,38,right,1.04632232800213,1,Fix1-14,14
sub-11,Block2,Fix1,stimuli/Old/44.jpg,right,39,left,2.97500361499988,0,Fix1-15,15
sub-11,Block2,Cond,stimuli/Sad/26.jpg,left,40,left,3.56024832299954,1,Cond-16,16
sub-11,Block2,Cond,stimuli/Sad/40.jpg,right,41,left,1.57707049999954,0,Cond-17,17
sub-11,Block2,Cond,stimuli/Sad/36.jpg,left,42,left,0.978413594999438,1,Cond-18,18
sub-11,Block2,Cond,stimuli/Sad/8.jpg,right,43,left,1.02931515800083,0,Cond-19,19
sub-11,Block2,Fix2,stimuli/Small/23.jpg,left,44,left,2.17342809800175,1,Fix2-11,11
sub-11,Block2,Fix2,stimuli/Small/49.jpg,left,45,right,8.35964653699921,0,Fix2-12,12
sub-11,Block2,Fix1,stimuli/Old/58.jpg,right,46,right,0.891646385000058,1,Fix1-16,16
sub-11,Block2,Fix1,stimuli/Old/57.jpg,right,47,right,0.947827866999432,1,Fix1-17,17
sub-11,Block2,Fix1,stimuli/Old/4.jpg,right,48,right,1.09057291299905,1,Fix1-18,18
sub-11,Block2,Cond,stimuli/Sad/39.jpg,left,49,left,1.86192668999865,1,Cond-20,20
sub-11,Block2,Fix2,stimuli/Small/50.jpg,left,50,right,1.03602702799981,0,Fix2-13,13
sub-11,Block2,Fix1,stimuli/Old/1.jpg,right,51,right,2.0253955349981,1,Fix1-19,19
sub-11,Block2,Fix1,stimuli/Old/0.jpg,right,52,right,0.840422970002692,1,Fix1-20,20
sub-11,Block2,Cond,stimuli/Sad/5.jpg,left,53,left,1.0277233429988,1,Cond-21,21
sub-11,Block2,Cond,stimuli/Sad/49.jpg,right,54,left,1.5221936559974,0,Cond-22,22
sub-11,Block2,Fix1,stimuli/Old/34.jpg,right,55,right,2.71615050699984,1,Fix1-21,21
sub-11,Block2,Fix1,stimuli/Old/12.jpg,right,56,right,0.718491774998256,1,Fix1-22,22
